numero,codiceQuiz,testo
1,1,Chi guidò la spedizione dei Diecimila descritta nella Anabasi?
1,2,Quale gruppo funzionale caratterizza un alcol?
2,2,Qual è il monomero del polietilene?
1,3,Cosa misura la quantità di moto?
2,3,Quale legge afferma che F = ma?
1,4,Qual è il titolo del capolavoro di Franz Kafka incentrato sulla metamorfosi?
2,4,A quale corrente letteraria appartiene Marcel Proust?
1,5,Cosa misura la duration di un'obbligazione?
2,5,Qual è la formula dell'interesse semplice?
3,5,Cosa calcola il tasso di interesse semplice?
1,6,La membrana plasmatica è composta principalmente da?
2,6,Quale processo permette alle cellule di duplicarsi?
3,6,Quale organello cellulare è responsabile della produzione di energia (ATP)?
4,6,Cosa contiene il nucleo cellulare?
1,7,Qual è la capitale dell'Ungheria?
2,7,Qual è la capitale della Polonia?
3,7,Quale paese non fa parte dell'Unione Europea?
1,8,Quale pianeta è noto per i suoi anelli?
2,8,Cosa sono le stelle di neutroni?
3,8,Cosa è una nebulosa?
4,8,Quante galassie si stima contenga l'universo osservabile?
1,9,Quale lingua neolatina ha il maggior numero di parlanti nel mondo?
2,9,Quali lingue derivano dal Latino volgare?
1,10,Quale tecnica pittorica era la più comune nell'arte medievale?
2,10,Cosa caratterizza l'architettura gotica?
3,10,La Cattedrale di Notre-Dame di Parigi è un esempio di quale stile?
1,11,Chi è il regista di '8½'?
2,11,A quale movimento cinematografico appartiene la Nouvelle Vague?
3,11,Quale film di Andrei Tarkovsky è ambientato in una zona mistica?
4,11,Chi diresse 'La dolce vita' del 1960?
1,12,Il risotto alla Milanese è tradizionalmente aromatizzato con?
2,12,In quale regione italiana si produce il Parmigiano Reggiano DOP?
3,12,La 'bagna cauda' è un piatto tipico di quale regione?
4,12,Qual è il dolce tipico della Campania consumato a Natale?
1,13,Cosa significa CPU?
2,13,Cosa fa un compilatore?
3,13,Cosa significa RAM?
4,13,Quale sistema operativo è sviluppato da Apple per i Mac?
1,14,Il diritto di voto in Italia spetta ai cittadini che abbiano compiuto?
1,15,Quale tipo di costo non varia al variare della produzione?
2,15,Cos'è il break-even point?
1,16,Chi compose la Quinta Sinfonia in Do minore?
1,17,Cosa sosteneva la scuola atomista di Democrito?
2,17,Cosa studia l'etica nella filosofia greca?
3,17,Quale filosofo affermò che 'panta rei' (tutto scorre)?
4,17,Chi è il fondatore del pensiero filosofico occidentale spesso indicato come il primo filosofo?
5,17,Cosa significa il termine 'catarsi' nella filosofia di Aristotele?
1,18,Il cuore umano ha quante camere?
2,18,Quale struttura connette muscolo e osso?
3,18,In quale parte del cervello si trovano i centri del linguaggio?
4,18,Qual è l'osso più lungo del corpo umano?
1,19,Quale accordo internazionale mira a ridurre le emissioni di gas serra?
2,19,Cosa si intende per biodiversità?
3,19,Quale gas è il principale responsabile dell'effetto serra antropogenico?
4,19,Cosa è la catena alimentare?
1,20,In quale città si sono svolte le Olimpiadi estive del 2020 (posticipate al 2021)?
2,20,Quale sport prevede la gara di 'sincronizzato' in piscina?
3,20,Quante discipline sportive erano presenti alle Olimpiadi di Parigi 2024?
1,21,Chi è il fondatore del cognitivismo?
2,21,Il modello di elaborazione dell'informazione paragona la mente a?
3,21,Cosa è il pensiero critico?
1,22,Cosa studia la 'segregazione urbana'?
2,22,La 'Scuola di Chicago' è famosa per i suoi studi su?
1,23,Quale invenzione di Gutenberg rivoluzionò la diffusione del sapere rinascimentale?
2,23,Quale famiglia fiorentina fu la principale mecenate del Rinascimento?
1,24,Quale romanzo di Virginia Woolf è scritto in tecnica del 'flusso di coscienza'?
2,24,In quale anno fu pubblicato 'Ulisse' di James Joyce?
1,25,Cosa studia la matematica discreta?
2,25,Quante permutazioni esistono di n elementi distinti?
3,25,Cosa afferma il Teorema dei Quattro Colori?
1,26,Cosa è un indirizzo MAC?
2,26,Cosa è il DNS?
3,26,Su quale livello del modello OSI opera il protocollo TCP?
4,26,Qual è la differenza tra TCP e UDP?
1,27,Cosa è una tabella hash?
2,27,Quale struttura dati usa il principio FIFO?
3,27,Cosa calcola l'algoritmo di Dijkstra?
1,28,Cosa è il 'content marketing'?
2,28,Cosa è il 'funnel di vendita'?
3,28,Cosa si intende per 'retargeting'?
4,28,Cosa significa SEO?
1,29,Cosa è la catena del valore di Porter?
2,29,Cosa è il business plan?
3,29,Cosa analizza la SWOT analysis?
4,29,Cosa si intende per 'outsourcing'?
1,30,Quale movimento artistico nasce come reazione all'Impressionismo e include Cézanne e Van Gogh?
2,30,Chi è il fondatore del Cubismo insieme a Braque?
3,30,Quale artista è noto per i suoi orologi molli nel 'quadro La persistenza della memoria'?
4,30,Chi è il fondatore della Pop Art americana?
1,31,Cosa è l'entanglement quantistico?
2,31,Chi propose il modello atomico a strati con livelli energetici quantizzati?
1,32,Cosa è un legame ionico?
2,32,Qual è il simbolo chimico dell'oro?
3,32,Quale metallo è liquido a temperatura ambiente?
1,33,Come si chiama il processo per cui alcune piante marine producono ossigeno?
2,33,A quale profondità vive la fauna abissale?
3,33,Quale è il mammifero più grande degli oceani?
4,33,Quale pesce è noto per poter cambiare sesso nel corso della vita?
1,34,Cosa è la lava?
2,34,Quale vulcano è il più alto d'Europa?
3,34,Come si misura la magnitudo di un terremoto?
4,34,Cosa è il punto epicentro di un terremoto?
1,35,Cosa è un ciclone?
2,35,Cosa è l'effetto Coriolis?
1,36,Cosa è un morfema?
2,36,Quale dialetto italiano ha influenzato maggiormente la lingua standard?
3,36,Quanti fonemi consonantici ha l'italiano standard?
4,36,Come si chiama il fenomeno per cui una parola acquisisce un significato diverso nel tempo?
1,37,Cosa è la crittografia RSA?
2,37,Cosa è la funzione hash in crittografia?
3,37,Qual è la base del sistema binario?
4,37,Cosa è un numero primo?
1,38,Chi era il dio romano della guerra?
2,38,Qual è il nome del fiume degli inferi nella mitologia greca?
1,39,Quale imperatore fu incoronato da Papa Leone III nell'800 d.C.?
2,39,Cosa è la Peste Nera?
1,40,Quale città è la capitale della Cina?
2,40,Cosa è il Diwali?
3,40,Quale paese asiatico è noto per la produzione di Kimono?
1,41,Quale romanzo di Tolstoj è ambientato durante le guerre napoleoniche?
1,42,Cosa è la globalizzazione economica?
2,42,Cosa misurano i BRICS?
1,43,Come si chiama il processo per cui gli animali trascorrono l'inverno in uno stato di torpore?
2,43,A quale ordine appartengono i pipistrelli?
1,44,Come si chiama la cellula riproduttiva delle piante?
2,44,Cosa è la simbiosi tra funghi e radici delle piante?
3,44,Cosa sono le gimnosperme?
1,45,Cosa è il metabolismo di primo passaggio epatico?
2,45,Cosa sono i farmaci generici?
3,45,Cosa è un agonista farmacologico?
1,46,Cosa è la sovranità statale?
2,46,Quale documento internazionale del 1948 sancisce i diritti fondamentali dell'uomo?
3,46,Cosa è la Convenzione di Ginevra?
4,46,Cosa è il principio di non ingerenza nel diritto internazionale?
5,46,Cosa è la Corte Penale Internazionale (CPI)?
1,47,Chi inventò la macchina a vapore moderna nel XVIII secolo?
2,47,Quando fu inventato il World Wide Web?
1,48,Cosa è la cinematica inversa in robotica?
2,48,Cosa è un robot collaborativo (cobot)?
3,48,Cosa è un robot industriale?
1,49,Cosa è un modello di linguaggio di grandi dimensioni (LLM)?
2,49,Cosa è l'apprendimento automatico (machine learning)?
1,50,Cosa è la cross-validation?
2,50,Cosa è il gradient descent?
1,51,Cosa è l'analisi della varianza (ANOVA)?
2,51,Cosa è la correlazione di Pearson?
3,51,Cosa è la media aritmetica?
4,51,Cosa è l'intervallo di confidenza al 95%?
1,52,Quale metodo numerico approssima un integrale dividendo l'intervallo in trapezi?
2,52,Come si calcola l'integrale di x^n (con n ≠ -1)?
3,52,Cosa è la lunghezza d'arco di una curva?
1,53,"In topologia, cosa si intende per 'spazio compatto'?"
2,53,Di cosa si occupa la topologia matematica?
3,53,Cosa è un omeomorfismo in topologia?
1,54,Cosa è un gioco a somma zero?
2,54,Chi è il fondatore della teoria dei giochi moderna?
3,54,Cosa è l'equilibrio di Nash?
1,55,Cosa afferma il cogito cartesiano?
2,55,Chi scrisse 'Così parlò Zarathustra'?
3,55,Cosa è l'ermeneutica filosofica?
1,56,Cosa è lo scetticismo epistemologico?
1,57,Cosa è l'utilitarismo?
2,57,Cosa è il relativismo morale?
3,57,Cosa è l'etica della virtù?
1,58,Cosa è il panteismo?
2,58,Quale testo è sacro per l'Ebraismo?
3,58,Quante sono le religioni abramitiche principali?
1,59,Quale strumento usa l'archeologia per datare reperti organici?
2,59,Quale città antica fu sepolta dall'eruzione del Vesuvio nel 79 d.C.?
3,59,Dove si trova la celebre statua greca del Discobolo?
4,59,Cosa è un'anfora nell'antichità classica?
1,60,Cosa è una moneta 'ex-voto'?
2,60,Cosa è la numismatica?
3,60,Cosa è la zecca?
4,60,Come si chiama la tecnica di falsificazione che aggiunge cifre al valore nominale?
1,61,Quale testo italiano del XIII secolo rappresenta la prima grande opera in volgare?
2,61,Quale è il più antico testo in lingua d'oïl francese?
3,61,Cosa è lo 'Stilnovo'?
1,62,In quale data convenzionale si colloca la fondazione di Roma?
2,62,Quale imperatore romano costruì il famoso muro in Britannia?
3,62,Chi era Giulio Cesare?
4,62,Quando cadde l'Impero Romano d'Occidente?
1,63,Cosa è la 'Strafexpedition' del 1916?
2,63,Cosa è la guerra di trincea?
3,63,In quale anno scoppiò la Prima Guerra Mondiale?
1,64,In quale data avvenne lo sbarco in Normandia (D-Day)?
2,64,Cosa è la Resistenza italiana?
3,64,Quali erano le potenze dell'Asse?
1,65,Cosa è la geopolitica?
2,65,Cosa è la diplomazia della 'gunboat policy'?
3,65,Cosa è la NATO?
1,66,Cosa è il liberalismo istituzionale nelle RI?
2,66,Cosa è la sovranità statale in ambito internazionale?
3,66,Cosa è la globalizzazione nelle RI?
4,66,Cosa è la deterrenza nucleare?
1,67,Quale imperatore cinese unificò la Cina e costruì la Grande Muraglia?
2,67,Quale guerra del XX secolo si combatté tra Nord e Sud Corea?
3,67,Chi fu il fondatore dell'Impero Mongolo?
4,67,Cosa è il periodo Meiji in Giappone?
1,68,Cosa è il 'griot' nelle culture dell'Africa occidentale?
2,68,Quale civiltà africana antica costruì le piramidi di Giza?
1,69,Cosa è lo 'scat singing'?
2,69,Cosa è l'improvvisazione nel jazz?
3,69,Cosa è il 'blues'?
1,70,Chi è il compositore de 'La Traviata' e 'Rigoletto'?
2,70,Cosa è l'aria nell'opera lirica?
3,70,Cosa è il bel canto nell'opera italiana?
1,71,Cosa è il 'punk rock'?
2,71,Quale evento del 1969 è simbolo della controcultura hippie e del rock?
1,72,Chi è Berthe Morisot?
2,72,Quale tecnica pittorica caratterizza l'Impressionismo?
1,73,Cosa è il contrapposto nella scultura classica?
2,73,Cosa è un bassorilievo?
3,73,Quale scultura greca è considerata il simbolo della bellezza ideale maschile?
1,74,Cosa è il curtain wall nell'architettura moderna?
2,74,Chi progettò la Casa sulla Cascata (Fallingwater)?
3,74,Quale principio caratterizza l'architettura di Le Corbusier?
4,74,Cosa è il Bauhaus?
5,74,Chi progettò il Guggenheim Museum di Bilbao?
1,75,Cosa è l'ergonomia nel design industriale?
2,75,Chi è Raymond Loewy?
3,75,Chi è Dieter Rams?
1,76,"Chi inventò il dagherrotipo, il primo processo fotografico pratico?"
2,76,Cosa è il diaframma in una fotocamera?
1,77,Quale paese è noto per il 'cinema d'autore' europeo degli anni '60?
2,77,Chi sono i fratelli Lumière?
1,78,Quale scrittore messicano è noto per il romanzo 'Pedro Páramo'?
2,78,Chi è Jorge Luis Borges?
3,78,Chi scrisse 'Cent'anni di solitudine'?
1,79,Cosa è il surrealismo in poesia?
2,79,Quale poeta italiano è il maggior esponente dell'ermetismo?
1,80,Cosa è il 'postmodernismo' in letteratura?
2,80,Cosa è la 'metafiction'?
3,80,Chi scrisse 'La ricerca del tempo perduto'?
4,80,Chi scrisse 'Ulisse'?
1,81,Chi è Donna Tartt?
2,81,Chi ha scritto 'Il nome della rosa'?
1,82,Chi ha creato 'Watchmen'?
2,82,Chi è Chris Ware?
1,83,Chi è Gipi?
2,83,Chi ha creato Diabolik?
3,83,Chi ha creato Corto Maltese?
1,84,Chi è Mario nella cultura pop dei videogiochi?
2,84,Quale genere di gioco è caratterizzato dall'esplorazione e dall'accumulo di risorse?
3,84,Quale videogioco ha venduto più copie nella storia?
1,85,Cosa è la fermentazione nella cucina internazionale?
2,85,Quale paese è considerato la culla della cucina gastronomica occidentale?
3,85,Cosa è il 'sous vide'?
4,85,Cosa è il 'umami'?
1,86,In quale regione italiana si produce il Barolo?
2,86,Quale vitigno è usato per produrre il Brunello di Montalcino?
1,87,Cosa è il Prosecco?
2,87,Quale vino rosso toscano è considerato il più pregiato d'Italia?
3,87,Quale metodo di produzione usa il Franciacorta?
4,87,Da quale vitigno si produce il Barolo?
1,88,Cosa è il caffè 'specialty'?
2,88,Cosa è la 'crema' nel caffè espresso?
3,88,Cosa differenzia un cappuccino da un latte macchiato?
1,89,Cosa è la 'verticalità' in una degustazione di vini?
2,89,Cosa è il decantatore?
3,89,Cosa analizza la 'degustazione visiva' di un vino?
4,89,Cosa sono i 'bouquet' nel vino?
5,89,A quale temperatura si serve generalmente un vino rosso strutturato?
1,90,Cosa è il 'mogul' nello sci freestyle?
2,90,In quale anno lo sci alpino fu introdotto ai Giochi Olimpici Invernali?
1,91,Chi è Ellen MacArthur?
2,91,Cosa è la vela in ambito sportivo?
3,91,Cosa è il triathlon olimpico?
1,92,Chi è Eliud Kipchoge?
2,92,Cosa è la maratona?
1,93,In quale anno si svolse il primo Campionato del Mondo di calcio?
2,93,Chi è considerato il più grande calciatore di tutti i tempi da molti esperti?
3,93,In quale anno l'Italia vinse il suo quarto Campionato del Mondo?
1,94,Cosa è il 'tiro libero' nel basket?
2,94,Cosa è il 'doppio passo' nel basket?
3,94,Chi è Michael Jordan?
1,95,Su quale superficie si gioca Wimbledon?
2,95,Quante partite ha una competizione a 5 set in un Grande Slam maschile?
3,95,Quale tennista è soprannominato 'Re della Terra'?
4,95,Cosa è un 'ace' nel tennis?
1,96,Quale pilota ha vinto più campionati del mondo di Formula 1?
2,96,Quale circuito ospita il Gran Premio di Monaco?
3,96,Chi è Ayrton Senna?
1,97,In quale circuito italiano si disputa il Gran Premio d'Italia di Moto GP?
2,97,Da quanti poli è composta la griglia di partenza di un GP di Moto GP?
3,97,Cosa è il 'long lap penalty' in Moto GP?
1,98,Quante tappe conta tipicamente il Tour de France?
2,98,Chi ha vinto più Tour de France nella storia?
1,99,Quante caselle ha la scacchiera?
2,99,Cosa è la FIDE?
3,99,Cosa è lo scacco matto?
4,99,Chi è Magnus Carlsen?
1,100,Cosa è la 'briscola' nel gioco italiano?
2,100,Cosa è il 'tressette' nel gioco italiano?
3,100,Quante carte ha un mazzo standard?
4,100,Cosa è il 'bridge' come gioco di carte?
